id,kind,ja,en,operator,lines,stations,series,status,note_en,note_ja,wikipedia_ja
lucky.dr-yellow,lucky-train,幸せの黄色い新幹線,The yellow Shinkansen of happiness,,,,923,active,"Dr Yellow checks the track and wires about every ten days on a timetable that isn't published, so seeing one is luck in itself: fans say spotting it brings happiness. JR Central retired its set in 2025; JR West's is due to retire around 2027, so there's still time.",線路や架線を点検するドクターイエローは約10日に一度、非公表のダイヤで走るため、見られること自体が幸運。「見ると幸せになれる」と言われる。JR東海の編成は2025年に引退、JR西日本の編成も2027年をめどに引退予定。,ドクターイエロー
lucky.east-i,lucky-train,East iの言い伝え,"East i, the lucky inspector",,,,e926,active,"JR East's inspection train runs on unannounced days too, and fans treat a sighting as good luck, like Dr Yellow.",JR東日本の検測車も運行日非公表。ドクターイエローと同じく「見ると幸せになる」縁起物とされる。,新幹線E926形電車
lucky.toden-8810,lucky-train,幸せの黄色い都電,The yellow tram of happiness,toei,toden-arakawa,,toei-8800,active,"Car 8810 is the only yellow one of the Arakawa Line's 8800 class, so finding it is said to bring happiness. In 2011 Toden and the Setagaya Line, which then also had just one yellow train, ran a joint ""yellow trams for happiness"" campaign.",8800形で唯一の黄色い8810号は、見つけると幸せになれるという都市伝説に。2011年には当時黄色が1編成だけだった世田谷線と「黄色い電車でハッピーに！」を共同開催。,東京都交通局8800形電車
lucky.keikyu-yellow,lucky-train,KEIKYU YELLOW HAPPY TRAIN,Keikyu Yellow Happy Train,keikyu,,,keikyu-1000,active,"A Keikyu 1000 set painted yellow, after Keikyu's old work cars: a train of happiness. People said it looked like a Seibu train, so Keikyu suggested a swap.",京急の事業用車をイメージした黄色い新1000形。「幸せの黄色い電車」。西武の電車に似ているとの声から、京急が西武にコラボを提案した。,京急1000形電車 (2代)
lucky.seibu-red,lucky-train,幸運の赤い電車,Red Lucky Train,seibu,,,seibu-9000,past,Seibu's answer to Keikyu's yellow train: a 9000 series set in Keikyu's lucky red and white. It ran until 2020.,京急の黄色い電車へのお返しに、京急の縁起の良い紅白をまとった9000系。2020年まで運行。,西武9000系電車
lucky.setagaya-maneki,lucky-train,幸運の招き猫電車,Lucky beckoning-cat train,tokyu,setagaya,,,active,"The Setagaya Line runs past Gōtokuji, the temple said to be home of the maneki-neko, and its lucky cat train has cat-shaped straps.",招き猫発祥とされる豪徳寺の近くを走る世田谷線。「幸運の招き猫電車」には招き猫形のつり革がある。,東急300系電車
charm.heart-straps-izuhakone,charm,ハートのつり革,Heart-shaped straps,izuhakone,railway-sunzu,,,active,"The heart-shaped hand straps began here in 2011, a staff idea. Only a few are hidden among ordinary ones: find one and you'll be happy, and couples who hold it together stay together. Many railways followed.",ハートのつり革は2011年、駿豆線の社員の企画で始まった。ごくわずかしかなく、見つけると幸せに、カップルで握ると結ばれると言われる。各地の鉄道に広がった。,つり革
charm.heart-straps-seibu,charm,幸せをつかむハートリング,Heart ring: catch your happiness,seibu,,,,active,"Seibu hides heart-shaped straps in a few cars, not saying which. Seibu's staff tourism team named them the heart ring.",西武鉄道がごく一部の車両に付けたハートのつり革。どの車両かは非公表。「幸せをつかむハートリング」。,つり革
charm.heart-straps-choshi,charm,ハートのつり革,Heart-shaped straps,choshi-denkitetsudo,,,,active,Chōshi Electric Railway has heart-shaped straps too: grab one and be happy.,銚子電鉄にもハートのつり革。握れば幸せに。,つり革
name.komachi,name-origin,「こまち」の名前,"Where ""Komachi"" comes from",,,,e6,active,"The Akita Shinkansen's name was chosen by public vote, after the poet Ono no Komachi, a legendary beauty said to come from Ogachi in Yuzawa, Akita.",秋田新幹線の愛称は公募で決まった。秋田県湯沢市小野出身とされる絶世の美女、小野小町から。,こまち (列車)
