id,en,ja,checked,source
0,The original bullet train that opened the Tōkaidō Shinkansen in 1964.,1964年、東海道新幹線の開業とともに走り出した初代新幹線。,,draft
103,"The most numerous train type Japan has built: 3,447 cars for JNR.","3,447両が造られた、日本で最も数の多い電車。",,draft
205,JNR's first mass-produced lightweight stainless-steel commuter train. Many now run in Indonesia.,国鉄初の量産軽量ステンレス車体の通勤形。多くがインドネシアに渡って走っている。,,draft
e231,The design that standardised JR East's commuter and suburban trains around 2000.,2000年ごろからJR東日本の通勤形・近郊形を統一した標準車両。,,draft
e233,JR East's workhorse since 2006. Its key equipment is duplicated so a single fault won't stop the train.,2006年から走るJR東日本の主力。主要機器を二重化し、故障しても走り続けられる。,,draft
e235,The Yamanote Line's current train. Screens above the windows replaced many of the paper adverts.,山手線の現役車両。窓上の紙広告の多くが液晶画面に置き換わった。,,draft
e353,Air-suspension tilting lets the Azusa and Kaiji take the Chūō Line's mountain curves faster.,空気ばね式の車体傾斜で、中央本線の山あいのカーブを速く走る「あずさ」「かいじ」。,,draft
e261,"Saphir Odoriko: every seat is Green or better, with private rooms and a café car on the way to Izu.",伊豆へ向かう「サフィール踊り子」。全席グリーン車以上で、個室とカフェテリアを備える。,,draft
e657,The Hitachi and Tokiwa on the Jōban Line. A lamp above each seat shows whether it is reserved.,常磐線の特急「ひたち」「ときわ」。座席上のランプで指定席の状況がわかる。,,draft
285,Sunrise Izumo and Sunrise Seto: the last regular overnight sleeper trains in Japan.,「サンライズ出雲・瀬戸」。日本で唯一残る定期の寝台特急。,,draft
e5,"Runs at 320 km/h, the fastest in Japan, and was the first with GranClass above the Green car.",営業最高速度320km/hは国内最速。グリーン車の上をいくグランクラスを初めて設けた。,,draft
e6,"The red Komachi runs coupled to an E5 at 320 km/h, then continues alone onto the Akita mini-shinkansen.",赤い「こまち」。E5系と連結して320km/hで走り、ミニ新幹線の秋田新幹線へ乗り入れる。,,draft
e8,"Replaced the E3 on the Tsubasa to Yamagata in 2024, running at 300 km/h on the Tōhoku Shinkansen.",2024年から「つばさ」でE3系を置き換え。東北新幹線内は300km/hで走る。,,draft
h5,JR Hokkaido's sister of the E5. Its purple band evokes lilac and lavender.,E5系の姉妹車。紫の帯はライラックやラベンダーをイメージ。,,draft
e7,Built for the Hokuriku Shinkansen. Its sky-blue and copper bands evoke the sky and traditional crafts.,北陸新幹線用。空色と銅色の帯は、空と伝統工芸をイメージ。,,draft
w7,JR West's twin of the E7 for the Hokuriku Shinkansen.,E7系と同じ設計の、JR西日本の北陸新幹線車両。,,draft
n700,Tilts its body one degree on curves so the Tōkaidō Shinkansen can keep its speed.,カーブで車体を1度傾け、スピードを保ったまま走る。,,draft
n700s,The S stands for Supreme. Its batteries can move it to safety if the power fails.,Sは「Supreme」の頭文字。停電してもバッテリーで自力走行できる。,,draft
500,"The first Japanese train to run at 300 km/h in service, in 1997. Now works Kodama trains on the San'yō Shinkansen.",1997年、国内で初めて営業運転300km/hを実現。今は山陽新幹線の「こだま」で走る。,,draft
tokyo-metro-1000,Its lemon-yellow body recalls the train that opened Japan's first subway in 1927.,レモンイエローの車体は、1927年に日本初の地下鉄を開業した旧1000形がモチーフ。,,draft
tokyo-metro-2000,Round headlights and a red body with a sine-wave band echo the first Marunouchi Line trains.,丸い前照灯と赤い車体のサインウェーブは、初代丸ノ内線車両へのオマージュ。,,draft
tokyo-metro-16000,Permanent-magnet motors make it quiet and energy-saving on the Chiyoda Line.,永久磁石同期電動機を採用し、静かで省エネな千代田線の車両。,,draft
toei-5500,"Its face is inspired by kumadori, the make-up of kabuki actors.",顔のデザインは歌舞伎の「隈取」がモチーフ。,,draft
toei-12-000,Linear motors let the Ōedo Line use small tunnels and steep gradients.,リニアモーター駆動で、小さなトンネルと急な勾配に対応した大江戸線の車両。,,draft
keio-5000,Its seats turn from benches to forward-facing pairs for the reserved Keio Liner.,「京王ライナー」用に、ロングシートとクロスシートを転換できる座席を備える。,,draft
keio-1000,Each Inokashira Line set has one of seven rainbow colours on its face.,井の頭線の1000系は、編成ごとに7色のレインボーカラー。,,draft
odakyu-70000-gse,The rose-red Romancecar. Its observation seats sit at the very front with the driver above.,バラ色のロマンスカー。先頭は運転席を2階に上げた展望席。,,draft
odakyu-60000-mse,The blue Romancecar that runs through onto the Tokyo Metro Chiyoda Line.,地下鉄千代田線に乗り入れる青いロマンスカー。,,draft
tobu-n100,Spacia X has a Cockpit Suite and a Cockpit Lounge right behind the driver's cab.,先頭車の運転席のすぐ後ろに、コックピットスイートとコックピットラウンジがある。,,draft
tobu-500,"Revaty can split and join on the way, so one train serves both Nikkō and Kinugawa.",途中駅で分割・併合し、1本の列車で日光と鬼怒川の両方へ向かえる。,,draft
seibu-001,"Laview's windows are huge, reaching almost to the floor.",床近くまである大きな窓が特徴の「ラビュー」。,,draft
keisei-ae,"The Skyliner reaches 160 km/h on the Narita Sky Access, the fastest outside the shinkansen in Japan.",成田スカイアクセス線で最高160km/h。新幹線を除けば国内最速。,,draft
sotetsu-12000,"In deep Yokohama Navy Blue, it runs through onto the JR Saikyō Line.",「ヨコハマネイビーブルー」の車体で、JR埼京線へ直通する。,,draft
kintetsu-80000,Hinotori's Premium cars have raised floors at both ends for the view ahead.,「ひのとり」の両端はハイデッキのプレミアム車両で、前方の眺めを楽しめる。,,draft
kintetsu-50000,Shimakaze has observation seats at the front and a double-deck café car on the way to Ise-Shima.,「しまかぜ」は先頭の展望席と2階建てのカフェ車両で伊勢志摩へ。,,draft
hc85,"A hybrid with batteries, it replaced the KiHa 85 on the Hida.",バッテリーを積んだハイブリッド方式で、「ひだ」のキハ85系を置き換えた。,,draft
923,Doctor Yellow measures the Tōkaidō and San'yō Shinkansen track and overhead wires at full speed. Seeing one is said to bring good luck.,東海道・山陽新幹線の線路や架線を走りながら検測する「ドクターイエロー」。見ると幸せになれると言われる。,,draft
e926,"East i checks the track and overhead wires of JR East's shinkansen, including the mini-shinkansen lines.",ミニ新幹線を含むJR東日本の新幹線の線路や架線を検測する「East i」。,,draft
e956,"ALFA-X is JR East's test train for the next generation of shinkansen, built to test running at up to 360 km/h.",次世代新幹線に向けた試験車両。最高360km/hでの営業運転をめざして試験を行う。,,draft
e001,"Train Suite Shiki-shima is JR East's luxury cruise train, touring eastern Japan over several days.",JR東日本のクルーズトレイン「TRAIN SUITE 四季島」。数日かけて東日本をめぐる。,,draft
87,"Twilight Express Mizukaze is JR West's cruise train, with an observation car at each end.",JR西日本のクルーズトレイン「TWILIGHT EXPRESS 瑞風」。両端に展望車がある。,,draft
77,"Seven Stars in Kyushu was Japan's first cruise train, starting in 2013.",2013年に運行を始めた、日本初のクルーズトレイン「ななつ星 in 九州」。,,draft
